CustomerKey,First Name,Last Name,Full Name,Gender,DateFirstPurchase,Customer City
11000,Jon,Yang,JonYang,Male,2020-01-19,Rockhampton
11001,Eugene,Huang,EugeneHuang,Male,2020-01-15,Seaford
11002,Ruben,Torres,RubenTorres,Male,2020-01-07,Hobart
11003,Christy,Zhu,ChristyZhu,FEMALE,2019-12-29,North Ryde
11004,Elizabeth,Johnson,ElizabethJohnson,FEMALE,2020-01-23,Wollongong
11005,Julio,Ruiz,JulioRuiz,Male,2019-12-30,East Brisbane
11006,Janet,Alvarez,JanetAlvarez,FEMALE,2020-01-24,Matraville
11007,Marco,Mehta,MarcoMehta,Male,2020-01-09,Warrnambool
11008,Rob,Verhoff,RobVerhoff,FEMALE,2020-01-25,Bendigo
11009,Shannon,Carlson,ShannonCarlson,Male,2020-01-27,Hervey Bay
11010,Jacquelyn,Suarez,JacquelynSuarez,FEMALE,2020-01-14,East Brisbane
11011,Curtis,Lu,CurtisLu,Male,2019-12-30,East Brisbane
11012,Lauren,Walker,LaurenWalker,FEMALE,2022-03-16,Bremerton
11013,Ian,Jenkins,IanJenkins,Male,2022-04-13,Lebanon
11014,Sydney,Bennett,SydneyBennett,FEMALE,2022-03-23,Redmond
11015,Chloe,Young,ChloeYoung,FEMALE,2022-01-18,Burbank
11016,Wyatt,Hill,WyattHill,Male,2022-02-09,Imperial Beach
11017,Shannon,Wang,ShannonWang,FEMALE,2020-01-12,Sunbury
11018,Clarence,Rai,ClarenceRai,Male,2020-01-17,Bendigo
11019,Luke,Lal,LukeLal,Male,2022-02-12,Langley
11020,Jordan,King,JordanKing,Male,2021-12-29,Metchosin
11021,Destiny,Wilson,DestinyWilson,FEMALE,2022-01-23,Beaverton
11022,Ethan,Zhang,EthanZhang,Male,2022-01-20,Bellingham
11023,Seth,Edwards,SethEdwards,Male,2022-02-17,Bellflower
11024,Russell,Xie,RussellXie,Male,2022-06-27,Concord
11025,Alejandro,Beck,AlejandroBeck,Male,2020-01-06,Hawthorne
11026,Harold,Sai,HaroldSai,Male,2020-01-23,Goulburn
11027,Jessie,Zhao,JessieZhao,Male,2020-01-16,Warrnambool
11028,Jill,Jimenez,JillJimenez,FEMALE,2020-01-26,St. Leonards
11029,Jimmy,Moreno,JimmyMoreno,Male,2020-01-19,Bendigo
11030,Bethany,Yuan,BethanyYuan,FEMALE,2020-02-05,Cloverdale
11031,Theresa,Ramos,TheresaRamos,FEMALE,2020-02-01,Matraville
11032,Denise,Stone,DeniseStone,FEMALE,2020-02-18,Melbourne
11033,Jaime,Nath,JaimeNath,Male,2020-02-15,Milsons Point
11034,Ebony,Gonzalez,EbonyGonzalez,FEMALE,2020-02-01,North Sydney
11035,Wendy,Dominguez,WendyDominguez,FEMALE,2020-02-06,Cranbourne
11036,Jennifer,Russell,JenniferRussell,FEMALE,2022-01-22,National City
11037,Chloe,Garcia,ChloeGarcia,FEMALE,2022-01-20,Cliffside
11038,Diana,Hernandez,DianaHernandez,FEMALE,2020-02-07,Lavender Bay
11039,Marc,Martin,MarcMartin,Male,2020-02-07,Wollongong
11040,Jesse,Murphy,JesseMurphy,Male,2022-04-03,Tacoma
11041,Amanda,Carter,AmandaCarter,FEMALE,2022-01-14,Glendale
11042,Megan,Sanchez,MeganSanchez,FEMALE,2022-01-21,Los Angeles
11043,Nathan,Simmons,NathanSimmons,Male,2022-05-08,Glendale
